id,created_at,text,retweet_count,favorite_count
846805095648018432,Tue Mar 28 19:24:02 +0000 2017,#Emmerdale viewers left shocked after surprise snog https://t.co/GGZ4eWl0Q0 https://t.co/sw2oGZPifv,0,3
846804588518916096,Tue Mar 28 19:22:01 +0000 2017,Incredible case of a mum who gave birth to girl who grew outside her womb https://t.co/vHjZuNEFRf https://t.co/VsXxwO8Ql7,3,4
846802988249350144,Tue Mar 28 19:15:39 +0000 2017,Boy 7 needs hospital treatment after attack by a flock of seagulls https://t.co/dBuvvJB5v0 https://t.co/HvYatipH3R,3,5
846802071542255620,Tue Mar 28 19:12:01 +0000 2017,Woman puts on four stone to become a plus-size model https://t.co/zqj4fwqGPb https://t.co/AajmLrke5J,1,5
846801061348298752,Tue Mar 28 19:08:00 +0000 2017,RT @TheSunShowbiz: Holly Willoughby sends fans into a frenzy as she flashes camisole in sheer pink top for glamorous appearance on Th… http…,2,0
846799555458928640,Tue Mar 28 19:02:01 +0000 2017,Couple arrested after trying to sell their five-month-old baby daughter on Craigslist https://t.co/U478Q5lRsZ https://t.co/WfmvHxb3te,4,5
846799039031099392,Tue Mar 28 18:59:58 +0000 2017,Kerry Katona shares sad message with her fans https://t.co/dtSgSlijeT https://t.co/V8hLgMhhJt,1,1
846798216448409601,Tue Mar 28 18:56:42 +0000 2017,RT @TheSunTV: Ste Hay is the prime suspect in Amy Barnes’ murder on Hollyoaks as he’s seen washing away blood in the shower afte… https://t…,2,0
846797041418326016,Tue Mar 28 18:52:02 +0000 2017,Katie Price sparks Photoshop claims as she shows off legs in holiday snap https://t.co/Q5EZUOMULy https://t.co/PjXvJj7Fao,5,4
846796579180855297,Tue Mar 28 18:50:11 +0000 2017,Disgusted friends get a 'nasty shock' inside their Doritos bought from Asda  https://t.co/szf3nmtWNL https://t.co/XTE4mvP0yG,1,1
846795956184080384,Tue Mar 28 18:47:43 +0000 2017,RT @TheSunWoman: Ditch the quinoa and green tea for chocolates and a builder’s brew if you want to look like Joan Collins https://t.co/crmU…,2,0
846795926794637316,Tue Mar 28 18:47:36 +0000 2017,RT @TheSunTV: Hollyoaks’ Amy Barnes is found dead – and her ex Ste Hay is framed for her murder https://t.co/MHBNPQcNs2,4,0
846795026973765633,Tue Mar 28 18:44:01 +0000 2017,Sexy snap that was blasted into space by an astronaut is being sold at auction https://t.co/SroyuOyKjU https://t.co/2uu8kzdyH3,1,4
846794522738724864,Tue Mar 28 18:42:01 +0000 2017,Inside the abandoned vet school where jars are still stuffed remains https://t.co/5n8VcjhoH8 https://t.co/eiuXf2IIkF,4,3
846794459039875072,Tue Mar 28 18:41:46 +0000 2017,RT @TheSunShowbiz: Chloe Ferry suffers social media fail as she shows off IMMACULATE bedroom before accidentally revealing what her r… http…,4,0
846794434670968834,Tue Mar 28 18:41:40 +0000 2017,Mum at the centre of a public breastfeeding row slams the 'ridiculous' man who shamed her https://t.co/j1bCSWwksn https://t.co/6bF3IueSAb,3,5
846792512694079489,Tue Mar 28 18:34:02 +0000 2017,#Hollyoaks' Amy Barnes is found dead - and here's who is being framed for her murder https://t.co/VVnmzy8l0e https://t.co/dkBT3OWlNt,2,5
846792007733460992,Tue Mar 28 18:32:01 +0000 2017,These are 10 of the most outrageously deliberate celeb bum flashes https://t.co/MfrN3hbqjH https://t.co/YBnwQlMVcF,0,2
846791783027748864,Tue Mar 28 18:31:08 +0000 2017,RT @TheSunWoman: 'I’m falling for cute lover I met online… but is he just using me for sex?' https://t.co/BS8uuK6vGm,2,0
846791730317942786,Tue Mar 28 18:30:55 +0000 2017,RT @TheSunTV: Humans confirmed for a third series as bosses promise ‘addictive and surprising’ scenes ahead https://t.co/iRzIx2HXnW,1,0
846790141138087936,Tue Mar 28 18:24:36 +0000 2017,#GeordieShore's Chloe Ferry shocks fans with video of her boobs  https://t.co/AQX8sUymiM https://t.co/lN2rJvWIqN,2,4
846789494326149120,Tue Mar 28 18:22:02 +0000 2017,RAF Corrie's uncle slams cops for delays in search https://t.co/EkihWjqI8f https://t.co/aIQ1pTr9Pz,3,4
846789365410004993,Tue Mar 28 18:21:31 +0000 2017,This is why Primark customers can't get their hands on the £5 Chip mug https://t.co/TvhuCu73U3 https://t.co/jvl0ySs23n,2,5
846789365057642496,Tue Mar 28 18:21:31 +0000 2017,RT @TheSunWoman: Hapless boyfriend proposes to the ex he dumped over a TOILET SEAT when they spend the night together for a new TV … https:…,2,0
846786972920238084,Tue Mar 28 18:12:01 +0000 2017,UK drivers could soon be slapped with £70 parking fines https://t.co/Mfhnp9lNgF https://t.co/sWwkWKQGLE,2,7
846786872676438016,Tue Mar 28 18:11:37 +0000 2017,RT @TheSunShowbiz: Ruth Langsford admits her embarassment after sharing explicit picture on Twitter in Mother’s Day post https://t.co/JnL96…,2,0
846786629457121282,Tue Mar 28 18:10:39 +0000 2017,#EastEnders spoiler: Lauren Branning cheats on Steven Beale https://t.co/05skUZRINH https://t.co/oqcv3YX7H5,4,8
846785339888951297,Tue Mar 28 18:05:32 +0000 2017,#Emmerdale's Laurel forced to tell her children the devastating news about Ashley https://t.co/BK71krcNcj https://t.co/PuzgblwieD,0,5
846784455582912512,Tue Mar 28 18:02:01 +0000 2017,Six common types of bumps on your skin – and the ones that could be deadly https://t.co/q667sp599k https://t.co/LTyPpL5SNS,1,2
846784331242704896,Tue Mar 28 18:01:31 +0000 2017,RT @TheSunTech: Facebook has launched a new Camera app which will look very familiar to Snapchat fans https://t.co/wkWXroV3tK,2,0
846784280504229888,Tue Mar 28 18:01:19 +0000 2017,RT @TheSunWoman: Your COOKBOOKS could be making you sick experts warn https://t.co/UUwCNAX0Xz,1,0
846783451835633664,Tue Mar 28 17:58:02 +0000 2017,Surgery addict Alicia Douvall shows off her £1.5m body as she poses in skimpy lingerie https://t.co/uTgIyCWoe9 https://t.co/4SFIRILMVS,2,3
846782563435888642,Tue Mar 28 17:54:30 +0000 2017,.@MissKatiePrice launches Government petition to stop trolls after her son Harvey is bullied online… https://t.co/uLjoYhLul8,63,157
846781965642727425,Tue Mar 28 17:52:07 +0000 2017,New lower sugar KitKats hit shelves next week! https://t.co/1gyZiL8zOW https://t.co/vFlsKQFUoN,0,9
846780215422570498,Tue Mar 28 17:45:10 +0000 2017,RT @SunSport: Jonathan Woodgate returns to Middlesbrough as first-team coach https://t.co/UhSMBV138Y https://t.co/Iyl6EvCgvE,4,0
846779632179466240,Tue Mar 28 17:42:51 +0000 2017,RT @TheSunShowbiz: Sarah Greene wants to get Gordon the Gopher out of rehab to celebrate Going Live!’s 30th anniversary with Phillip … http…,8,0
846779428428484608,Tue Mar 28 17:42:02 +0000 2017,Lisa Appleton shows off mysterious black eye as she strips for wild night out https://t.co/HXGGIhVNT2 https://t.co/RdrWf2x7cI,0,1
846779307020181505,Tue Mar 28 17:41:33 +0000 2017,Pregnant Danielle Lloyd shows off her growing bump - but that's not what everyone is looking at… https://t.co/ptoNZBuxa3,0,3
846778161111191552,Tue Mar 28 17:37:00 +0000 2017,Locals on alert after a 'huge wild cat' is spotted stalking the Scottish countryside https://t.co/XOEUHXPIAa,3,8
846777372137402368,Tue Mar 28 17:33:52 +0000 2017,RT @TheSunTravel: Incredible images of some of the most bizarre mobile homes from around the world https://t.co/XZMNT2cAY6,3,0
846777319834439682,Tue Mar 28 17:33:40 +0000 2017,RT @SunVideo: Newborn baby rescued from rubbish tip after cruel parents buried her alive https://t.co/3REdDIhrrp,4,0
846777275051884546,Tue Mar 28 17:33:29 +0000 2017,Horrific moment man kicks and stamps his girlfriend’s puppy to death in a lift…and she forgives him… https://t.co/X0RQTnrYuj,1,1
846776907710566400,Tue Mar 28 17:32:01 +0000 2017,Amir Khan’s wife Faryal Makhdoom risks angering her in-laws again in new snap https://t.co/OjMErp0qWi https://t.co/69I6ZLHLR0,2,2
846776673483796481,Tue Mar 28 17:31:05 +0000 2017,RT @SunSport: COMMENT: Why Manchester United’s ‘Chelsea rent-boy’ chants should be allowed to be sung in football grounds https://t.co/FH3o…,2,0
846776546492846080,Tue Mar 28 17:30:35 +0000 2017,#GeordieShore's Chloe Ferry shocks fans with extreme underboob video  https://t.co/szxgSbUfT7 https://t.co/UMCNtt3so4,1,5
